Trimestre Móvil,DTI_CL_SEXO,ocupados_informales,tasa_informal_sector,tasa_informal_noagro,tasa_informal_sector_var_pct,tasa_informal_noagro_var_pct,gap_noagro_sector_pp,DTI_CL_SEXO_F,DTI_CL_SEXO_M,DTI_CL_SEXO__T
2020 may-jul,F,-1.4948041652202144,-0.4450325251774041,-1.2607499128196409,3.4547245545204315,2.671110909490803,-0.5791431154207811,1.0,0.0,0.0
2020 may-jul,M,-0.8387420344240102,0.5682756347300671,0.18702383624016797,0.9695765680756314,0.12798198419303,-0.3088227903770088,0.0,1.0,0.0
2020 may-jul,_T,0.2291278789032289,0.1540801823548863,-0.4507464669515726,1.7574481378943134,1.0401620549005974,-0.4531985619978798,0.0,0.0,1.0
2020 nov-ene,F,-1.2912150004291447,-0.5754835917596804,-0.4289323707050591,-0.21570809141265718,1.054939302152221,0.13625278214666978,1.0,0.0,0.0
2020 nov-ene,M,-0.4710181669680865,1.5392035812170772,-0.04766145837725888,1.2713922764595211,-0.28250686948666337,-1.2448077271909226,0.0,1.0,0.0
2020 nov-ene,_T,0.8004409111502283,0.6969733872314964,-0.21064433127962348,0.7453327824002127,0.2726166750448934,-0.7029654215979466,0.0,0.0,1.0
2020 oct-dic,F,-1.193841955103785,-1.2180273312060066,-0.29454072696852285,-1.0192027354179929,0.14554459619153243,0.7402589021310529,1.0,0.0,0.0
2020 oct-dic,M,-0.5303370146697417,1.4280916346940185,-0.6144175960523506,-0.14672647069083522,-0.6728234049793752,-1.5750607315142504,0.0,1.0,0.0
2020 oct-dic,_T,0.8384951087739329,0.3554236467804881,-0.4759334991015297,-0.46144916842074757,-0.32721738557043495,-0.6299959478544643,0.0,0.0,1.0
2020 sep-nov,F,-1.274026932393839,-1.3295342217094,-0.8019811111624223,-0.2094291266734551,-0.6160388892783205,0.4540193254613135,1.0,0.0,0.0
2020 sep-nov,M,-0.42282906466600106,1.7214035045871758,-0.26928400314639767,0.3332936871592513,0.4043389716276763,-1.5512908044469345,0.0,1.0,0.0
2020 sep-nov,_T,0.8658180814876193,0.5144841178661748,-0.4962691389533144,0.20091128983612117,-0.039776121901286834,-0.7699878294789174,0.0,0.0,1.0
2021 abr-jun,F,-1.448886406089565,-1.8401815965604837,-2.229472615064537,-0.9188197321254595,-1.7792593199780122,-0.19640866029821313,1.0,0.0,0.0
2021 abr-jun,M,-0.5338056059245497,1.9570282658796148,-0.24316949691555334,0.2551673243356682,0.01551348372891576,-1.7172322897288308,0.0,1.0,0.0
2021 abr-jun,_T,0.5799820665333452,0.45091957932625376,-1.0917524124239764,-0.10098030173030938,-0.732231107313381,-1.1587750687871685,0.0,0.0,1.0
2021 ago-oct,F,-1.374650402621312,-1.8552549216166325,-2.0213412261803727,-0.04536110013048193,0.2780220384391448,-0.03121387635265237,1.0,0.0,0.0
2021 ago-oct,M,-0.4596705642260654,1.417403496653039,-0.5277695251868687,-0.6210260719358307,-0.350816530744247,-1.5028195968198674,0.0,1.0,0.0
2021 ago-oct,_T,0.7283531117000822,0.11440958441195079,-1.156784257907388,-0.46931760225300784,-0.09775782057599057,-0.942219586767935,0.0,0.0,1.0
2021 dic-feb,F,-1.2823830100880398,-0.9581500812385413,0.06535715061352548,1.7310692147739075,2.866729838645157,0.8011838997553354,1.0,0.0,0.0
2021 dic-feb,M,-0.448234668868105,1.5702288376239382,-0.0063549120775248215,0.16618092614063848,0.6140570885117026,-1.2387570111537123,0.0,1.0,0.0
2021 dic-feb,_T,0.832056399591309,0.5652567324956839,0.023883280775416835,0.6197486797370462,1.4897199635349117,-0.426649896071554,0.0,0.0,1.0
2021 ene-mar,F,-1.2735664322565845,-0.9218283245102685,-0.46327430631748434,0.044189737282101696,-0.623025532049176,0.3831494891960451,1.0,0.0,0.0
2021 ene-mar,M,-0.3388738131062682,1.395824085106719,0.690293731417053,-0.22040079760261658,0.7901396954706744,-0.5884076068158985,0.0,1.0,0.0
2021 ene-mar,_T,0.9502338331846069,0.4645467201188028,0.1914841838221445,-0.1496882434921784,0.17797413744344454,-0.22401380251484035,0.0,0.0,1.0
2021 feb-abr,F,-1.2766551062042857,-1.0963399410034487,-0.6836231639786721,-0.3039887205309351,-0.2798768084435617,0.35795170572113655,1.0,0.0,0.0
2021 feb-abr,M,-0.44531759373777385,1.2089297490625377,0.5179157346485105,-0.23956603454327502,-0.20401779909717968,-0.5685292870205235,0.0,1.0,0.0
2021 feb-abr,_T,0.8407013786054002,0.2799520668780192,0.0011465989700539245,-0.2642586640491604,-0.23194360102244715,-0.21917522826596864,0.0,0.0,1.0
2021 jul-sep,F,-1.4666940134311277,-1.8837235450484728,-2.228067979958939,-1.3532964346944056,-1.9044615902158082,-0.16115324099199735,1.0,0.0,0.0
2021 jul-sep,M,-0.5895364422270223,1.1316758823395723,-0.7602711151553896,-0.11056181237098466,-1.4331159554858053,-1.449564430641267,0.0,1.0,0.0
2021 jul-sep,_T,0.5064436228893098,-0.06531721023030976,-1.3804211733382399,-0.4919972100260851,-1.6117579568992522,-0.965741251442467,0.0,0.0,1.0
2021 jun-ago,F,-1.4770153673860493,-2.1644514606630345,-2.046077227172292,-0.5658497720282634,0.24114169515228648,0.1935648300641589,1.0,0.0,0.0
2021 jun-ago,M,-0.44057815721496596,1.8918753923760456,0.7071224613867974,0.9223390674608529,1.791383605223889,-0.9658652470255855,0.0,1.0,0.0
2021 jun-ago,_T,0.6450805539464445,0.2897666931039283,-0.4517807511295971,0.4976222649706571,1.1925200241520748,-0.5605993985341041,0.0,0.0,1.0
2021 mar-may,F,-1.3789878200523558,-1.2870278329374534,-1.7801235886444677,1.8014227443743833,0.3528680082624853,-0.30006926433720654,1.0,0.0,0.0
2021 mar-may,M,-0.5547893937929533,1.541210722812199,-0.4243983538267969,-0.4120680661673971,-1.252284437002126,-1.523959755015612,0.0,1.0,0.0
2021 mar-may,_T,0.628896864702144,0.40995358558819306,-1.012957620558252,0.14934876319415,-0.6884099508754553,-1.068524139309251,0.0,0.0,1.0
2021 may-jul,F,-1.488925468254247,-1.9645984764036595,-2.4088066280372407,-1.2050370775309605,-0.8638854921622046,-0.2307577420851411,1.0,0.0,0.0
2021 may-jul,M,-0.43726773308232564,2.4000986016378683,0.44075177180498687,0.9934817264952976,1.0199453786282202,-1.561546478543884,0.0,1.0,0.0
2021 may-jul,_T,0.6364808772108872,0.6528934877521957,-0.7900446944575589,0.31291504466510783,0.2652261869121549,-1.0952163676859934,0.0,0.0,1.0
2021 nov-ene,F,-0.8225439678446635,-0.967234285684103,1.479450350209613,1.9682930992453915,5.563688867423182,1.8502078239783906,1.0,0.0,0.0
2021 nov-ene,M,-0.3939972616422695,1.2120822807436447,-0.1814515762189945,-1.2852913610304868,-0.7096457306069481,-1.086291162667381,0.0,1.0,0.0
2021 nov-ene,_T,1.3461328490605267,0.3025839992029099,0.5544349745505988,-0.4754934421575085,1.6442997236466028,0.1706931575829019,0.0,0.0,1.0
2021 oct-dic,F,-0.9221392553354354,-1.3426199419976543,0.8600210119404458,-0.6400193554630054,-0.6547408587997622,1.6888440150679418,1.0,0.0,0.0
2021 oct-dic,M,-0.4115054809360421,1.3243181509876896,-0.6304222605838674,0.12110710728640803,-0.5418951200689985,-1.5052950559657559,0.0,1.0,0.0
2021 oct-dic,_T,1.2290293422759822,0.2222093479892289,0.020821965586329177,-0.12653375545250342,-0.6055545614864135,-0.15929751026482258,0.0,0.0,1.0
2021 sep-nov,F,-1.0373895048903519,-1.2275643992755292,0.2197214244596746,0.18777475369150362,-0.7072102332186976,1.1266555736828832,1.0,0.0,0.0
2021 sep-nov,M,-0.3151234385350432,1.9564919621990924,-0.07385235498229296,0.746293826457844,0.6623630243387209,-1.592060251208646,0.0,1.0,0.0
2021 sep-nov,_T,1.2101611351220711,0.6513187495939197,0.0535358518443903,0.5800907761438295,0.022405267807880276,-0.4724401793284602,0.0,0.0,1.0
2022 abr-jun,F,-1.1083918680561315,-1.2697814398641134,-0.7754030729801784,-0.08940971353373758,-1.1452667734066102,0.42664073197037267,1.0,0.0,0.0
2022 abr-jun,M,-0.4259351846885236,1.087590174361139,-0.6846257938462841,-0.9902137631127603,-0.725395568433126,-1.3591821409368583,0.0,1.0,0.0
2022 abr-jun,_T,1.0283470258028047,0.1125162300665088,-0.7253488994489004,-0.7228320418402683,-0.9115561298045676,-0.6228559097708025,0.0,0.0,1.0
2022 ago-oct,F,-1.0270386062823798,-1.4249868725813681,0.05017575047502912,-0.2876164174140384,1.002478611682335,1.1568949873674943,1.0,0.0,0.0
2022 ago-oct,M,-0.590336703664098,-0.0967925446641528,-0.9214071089565964,-1.4860975723150909,-0.30498581535119884,-0.6028088822259762,0.0,1.0,0.0
2022 ago-oct,_T,0.9452987686009819,-0.6568072416882895,-0.4820411988589972,-1.1013708125554198,0.28333728563273536,0.16103683789768855,0.0,0.0,1.0
2022 dic-feb,F,-0.9913768938224206,-1.2550438967343716,-0.11492606241600718,0.2894571469355788,-0.2053610933656718,0.9016885941929215,1.0,0.0,0.0
2022 dic-feb,M,-0.457459993467208,0.7764594612831085,-0.3993640951839517,1.2530133831622694,0.6364664102466092,-0.9044812769514301,0.0,1.0,0.0
2022 dic-feb,_T,1.1138371912578249,-0.06670492881549751,-0.2749076248555355,0.9169155382140735,0.23373119628967734,-0.15012340421855006,0.0,0.0,1.0
2022 ene-mar,F,-1.0129213439677038,-0.932204639533356,-0.06282923962513316,0.5472625095648378,0.045432297689876076,0.686346875949775,1.0,0.0,0.0
2022 ene-mar,M,-0.33706214317577793,0.8974841024269924,0.3835298434628378,0.1401103502386488,0.9195556736139292,-0.42277149548640724,0.0,1.0,0.0
2022 ene-mar,_T,1.2126905914039843,0.1490800216122783,0.19050918615472207,0.29615573678439655,0.534725852408657,0.023199530989482922,0.0,0.0,1.0
